interacting_pair,sender_cell_type,receiver_cell_type,eligible_datasets,supporting_datasets,rank_sum,ligand_deg,receptor_deg,datasets,prevalence,activity,time,cluster,activity_cluster_0,eligible_cluster_0,activity_cluster_2,eligible_cluster_2,testable_other_clusters,max_other_activity,specificity
CD44_TYROBP,NK cell,Mast cell,2,2.0,1.7227483164983166,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8613741582491583,I-II,1,0.21507177901880942,8,0.0,4.0,2,0.21507177901880942,0.6463023792303488
PTPRC_CD22,Macrophage alveolar,Mast cell,2,2.0,1.488980078563412,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.744490039281706,I-II,1,0.10057272838051912,7,0.0,4.0,2,0.10057272838051912,0.6439173109011869
PTPRC_MRC1,Monocyte classical,cDC2,2,2.0,1.7982323232323232,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8991161616161616,I-II,1,0.2599208359825524,8,0.0,4.0,2,0.2599208359825524,0.6391953256336091
ANXA1_FPR2,Macrophage alveolar,myeloid dividing,2,2.0,1.5928626543209876,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7964313271604938,I-II,1,0.15747288770986995,7,0.0,2.0,2,0.15747288770986995,0.6389584394506238
CD86_CTLA4,cDC2,T cell CD8 effector memory,2,2.0,1.4581369248035916,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7290684624017958,I-II,1,0.0904079119136407,8,0.0,4.0,2,0.0904079119136407,0.6386605504881551
CD44_TYROBP,Mast cell,T cell CD4,2,2.0,1.6096275252525252,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8048137626262626,I-II,1,0.16682080648585987,8,0.0,4.0,2,0.16682080648585987,0.6379929561404027
PTPRC_CD22,T cell CD8 effector memory,Mast cell,2,2.0,1.8943813131313132,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9471906565656566,I-II,1,0.310996615053814,8,0.0,4.0,2,0.310996615053814,0.6361940415118426
PVR_CD96,Macrophage,T cell CD8 effector memory,2,2.0,1.3821548821548821,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.6910774410774411,I-II,1,0.05679556440147853,8,0.0,4.0,2,0.05679556440147853,0.6342818766759626
PTPRC_CD22,cDC2,Macrophage alveolar,2,2.0,1.4196303310886644,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7098151655443322,I-II,1,0.08223323449368374,7,0.0,4.0,2,0.08223323449368374,0.6275819310506485
CD52_SIGLEC10,Macrophage alveolar,B cell,2,2.0,1.472509820426487,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7362549102132435,I-II,1,0.11143831999675048,7,0.07555379746835443,4.0,2,0.11143831999675048,0.624816590216493
CXCL2_DPP4,Macrophage,T cell CD4,2,2.0,1.3281320145903481,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.6640660072951741,I-II,1,0.039948820017059995,8,0.0,4.0,2,0.039948820017059995,0.624117187278114
PTPRC_CD22,Mast cell,B cell,2,2.0,1.411311026936027,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7056555134680135,I-II,1,0.08295422234859255,8,0.0,4.0,2,0.08295422234859255,0.622701291119421
PTPRC_MRC1,Mast cell,Monocyte classical,2,2.0,1.4842803030303031,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7421401515151516,I-II,1,0.1273504862593141,8,0.0,4.0,2,0.1273504862593141,0.6147896652558374
PTPRC_MRC1,B cell,Monocyte classical,2,2.0,1.800631313131313,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9003156565656565,I-II,1,0.1947811995394359,8,0.28619228457992263,4.0,2,0.28619228457992263,0.6141233719857339
PTPRC_MRC1,Macrophage,cDC2,2,2.0,1.6868195847362515,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8434097923681257,I-II,1,0.2297885098260215,8,0.0,4.0,2,0.2297885098260215,0.6136212825421042
ANXA1_FPR2,Macrophage,myeloid dividing,2,2.0,1.4498737373737374,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7249368686868687,I-II,1,0.11663520374325691,8,0.0,2.0,2,0.11663520374325691,0.6083016649436118
ANXA1_FPR3,T cell CD8 effector memory,Macrophage alveolar,2,2.0,1.563043630751964,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.781521815375982,I-II,1,0.17632055877929906,7,0.0,4.0,2,0.17632055877929906,0.6052012565966829
PTPRC_MRC1,Macrophage alveolar,Monocyte classical,2,2.0,1.6501227553310889,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8250613776655444,I-II,1,0.19195829679396006,7,0.22105035786251143,4.0,2,0.22105035786251143,0.6040110198030331
