interacting_pair,best_sender_cell_type,best_receiver_cell_type,supporting_datasets,eligible_datasets,prevalence,activity,ligand_deg,receptor_deg,datasets,time,cluster,activity_cluster_0,eligible_cluster_0,testable_other_clusters,max_other_activity,specificity
COL11A1_integrin_a1b1_complex,Fibroblast peribronchial,Pericyte,2.0,2,1.0,0.8998193403440167,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.27889574092105734,3,1,0.27889574092105734,0.6209235994229594
IL1B_IL1_receptor_inhibitor,myeloid dividing,Neutrophils,2.0,2,1.0,0.796432448905783,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.17675538245158498,4,1,0.17675538245158498,0.6196770664541981
COL12A1_integrin_a1b1_complex,Fibroblast peribronchial,Pericyte,2.0,2,1.0,0.9262102195827837,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.30715135778426916,3,1,0.30715135778426916,0.6190588617985145
CADM1_NECTIN3,cDC1,Pericyte,2.0,2,1.0,0.6184373061396309,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.0,1,1,0.0,0.6184373061396309
COL6A2_integrin_a2b1_complex,Pericyte,T cell CD8 dividing,2.0,2,1.0,0.8329873735935449,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.2209059107793285,3,1,0.2209059107793285,0.6120814628142164
COL4A2_integrin_a2b1_complex,Pericyte,T cell CD8 dividing,2.0,2,1.0,0.92570638787287,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.3163655378845252,3,1,0.3163655378845252,0.6093408499883448
COL1A1_integrin_a2b1_complex,Pericyte,T cell CD8 dividing,2.0,2,1.0,0.9239836818363244,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.3155360813588662,3,1,0.3155360813588662,0.6084476004774582
COL3A1_integrin_a2b1_complex,Pericyte,T cell CD8 dividing,2.0,2,1.0,0.922096921989686,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.31593277795809444,3,1,0.31593277795809444,0.6061641440315915
COL10A1_integrin_a1b1_complex,Fibroblast peribronchial,Pericyte,2.0,2,1.0,0.9219831355040449,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.31620325291211365,3,1,0.31620325291211365,0.6057798825919312
CCL19_CCRL2,DC mature,Neutrophils,2.0,2,1.0,0.6050099165645018,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.0,1,1,0.0,0.6050099165645018
COL18A1_integrin_a2b1_complex,Pericyte,T cell CD8 dividing,2.0,2,1.0,0.8394381168840811,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.23596234988640052,3,1,0.23596234988640052,0.6034757669976806
COL14A1_integrin_a1b1_complex,Pericyte,Pericyte,2.0,2,1.0,0.896506912542854,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.29348335677449605,3,1,0.29348335677449605,0.6030235557683579
COL4A1_integrin_a2b1_complex,Pericyte,T cell CD8 dividing,2.0,2,1.0,0.9115722135245536,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.3140394532799596,3,1,0.3140394532799596,0.5975327602445941
FN1_integrin_a2b1_complex,Pericyte,T cell CD8 dividing,2.0,2,1.0,0.8656284002848093,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.2682570593962999,3,1,0.2682570593962999,0.5973713408885093
COL6A3_integrin_a1b1_complex,Fibroblast peribronchial,Pericyte,2.0,2,1.0,0.9830837004946688,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.3957319052255761,2,1,0.3957319052255761,0.5873517952690926
COL14A1_integrin_a11b1_complex,Pericyte,Fibroblast peribronchial,2.0,2,1.0,0.6889616093433477,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.10290670417252695,3,1,0.10290670417252695,0.5860549051708208
COL5A3_integrin_a1b1_complex,Pericyte,Pericyte,2.0,2,1.0,0.897552510667502,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.31196581196581197,3,1,0.31196581196581197,0.58558669870169
