interacting_pair,sender_cell_type,receiver_cell_type,eligible_datasets,supporting_datasets,rank_sum,ligand_deg,receptor_deg,datasets,prevalence,activity,time,cluster,activity_cluster_0,eligible_cluster_0,activity_cluster_1,eligible_cluster_1,testable_other_clusters,max_other_activity,specificity
HLA-E_CD94:NKG2A,T cell NK-like,T cell NK-like,3,2.0,1.3372188836474324,False,False,Lambrechts_Thienpont_2018_6149v1;Zuani_2024_NSCLC,0.6666666666666666,0.44573962788247745,I-II,2,0.11509896139525769,7,0.0,2,2,0.11509896139525769,0.3306406664872198
HLA-E_KLRK1,T cell NK-like,T cell CD8 terminally exhausted,3,2.0,1.7469901001869013,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.5823300333956337,I-II,2,0.26279960789183454,7,0.0,2,2,0.26279960789183454,0.3195304255037992
HLA-E_KLRK1,Plasma cell,T cell NK-like,3,2.0,0.9497579532020843,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.3165859844006948,I-II,2,0.0,6,0.0,2,2,0.0,0.3165859844006948
HLA-E_CD94:NKG2A,T cell CD8 effector memory,T cell NK-like,3,2.0,1.2736193869402297,False,False,Lambrechts_Thienpont_2018_6149v1;Zuani_2024_NSCLC,0.6666666666666666,0.4245397956467432,I-II,2,0.1080442876739173,7,0.0,2,2,0.1080442876739173,0.3164955079728259
HLA-E_CD94:NKG2C,Plasma cell,T cell CD8 dividing,3,3.0,0.9410978897883473,False,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.3136992965961158,I-II,2,0.0,6,0.0,2,2,0.0,0.3136992965961158
HLA-E_KLRK1,T cell CD4,T cell NK-like,3,2.0,1.6873105397676615,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.5624368465892206,I-II,2,0.24903685699033168,7,0.0,2,2,0.24903685699033168,0.3133999895988889
HLA-E_CD94:NKG2C,T cell CD4 dividing,T cell CD8 dividing,2,2.0,1.4127325396554853,False,False,Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.7063662698277426,I-II,2,0.3965053476356439,7,0.0,2,2,0.3965053476356439,0.30986092219209876
APP_CD74,cDC1,B cell,2,2.0,1.9639603100783822,False,True,Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.9819801550391911,I-II,2,0.6723198351495256,7,0.0,1,2,0.6723198351495256,0.30966031988966547
HLA-E_KLRK1,Plasma cell,T cell CD8 dividing,3,2.0,0.9039044493022581,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.3013014831007527,I-II,2,0.0,6,0.0,2,2,0.0,0.3013014831007527
HLA-E_KLRK1,T cell CD8 dividing,NK cell,3,2.0,1.6467107392168647,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.5489035797389549,I-II,2,0.25275647875853446,7,0.0,2,2,0.25275647875853446,0.2961471009804204
HLA-E_CD94:NKG2C,cDC2,T cell CD8 dividing,3,3.0,1.682469432229138,False,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.5608231440763793,I-II,2,0.2664791245899637,7,0.0,2,2,0.2664791245899637,0.29434401948641564
HLA-E_CD94:NKG2A,T cell CD8 dividing,T cell NK-like,3,2.0,1.1723195316157267,False,False,Lambrechts_Thienpont_2018_6149v1;Zuani_2024_NSCLC,0.6666666666666666,0.39077317720524224,I-II,2,0.09903978052126201,7,0.0,2,2,0.09903978052126201,0.29173339668398024
HLA-E_KLRK1,T cell CD8 dividing,T cell NK-like,3,2.0,1.6370817015262487,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.5456939005087496,I-II,2,0.2542456899620215,7,0.0,2,2,0.2542456899620215,0.29144821054672804
HLA-E_CD94:NKG2A,B cell,T cell CD8 dividing,3,2.0,1.5358982696132737,False,False,Lambrechts_Thienpont_2018_6149v1;Zuani_2024_NSCLC,0.6666666666666666,0.5119660898710913,I-II,2,0.22110893215177505,7,0.0,2,2,0.22110893215177505,0.2908571577193162
HLA-E_CD94:NKG2A,T cell CD4,T cell NK-like,3,2.0,1.183734703690602,False,False,Lambrechts_Thienpont_2018_6149v1;Zuani_2024_NSCLC,0.6666666666666666,0.394578234563534,I-II,2,0.10557515187144817,7,0.0,2,2,0.10557515187144817,0.28900308269208586
CCL3_CCR1,NK cell,T cell CD8 dividing,3,2.0,0.8620300230489311,True,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.28734334101631037,I-II,2,0.0,7,0.0,2,2,0.0,0.28734334101631037
HLA-E_CD94:NKG2A,T cell regulatory,T cell CD8 dividing,3,2.0,1.5343551349210216,False,False,Lambrechts_Thienpont_2018_6149v1;Zuani_2024_NSCLC,0.6666666666666666,0.5114517116403405,I-II,2,0.23170457750024034,7,0.0,2,2,0.23170457750024034,0.2797471341401002
HLA-E_CD94:NKG2A,NK cell,T cell CD8 dividing,3,2.0,1.5587227886149069,False,False,Lambrechts_Thienpont_2018_6149v1;Zuani_2024_NSCLC,0.6666666666666666,0.5195742628716357,I-II,2,0.24078192814862062,7,0.0,2,2,0.24078192814862062,0.278792334723015
HLA-E_CD94:NKG2A,T cell CD8 terminally exhausted,T cell CD8 dividing,3,2.0,1.5305920892370328,False,False,Lambrechts_Thienpont_2018_6149v1;Zuani_2024_NSCLC,0.6666666666666666,0.510197363079011,I-II,2,0.23318677098336865,7,0.0,2,2,0.23318677098336865,0.2770105920956423
CD52_SIGLEC10,Monocyte classical,cDC1,2,2.0,1.1390204689855528,False,True,Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.5695102344927764,I-II,2,0.29326525276745036,7,0.0,1,2,0.29326525276745036,0.276244981725326
HLA-E_CD94:NKG2E,T cell NK-like,NK cell,3,3.0,2.090965892041189,False,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.6969886306803964,I-II,2,0.42868356533004504,7,0.0,2,2,0.42868356533004504,0.26830506535035137
HLA-E_KLRK1,T cell CD8 dividing,T cell CD8 terminally exhausted,3,2.0,1.5644098747168416,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.5214699582389472,I-II,2,0.2532077771226426,7,0.0,2,2,0.2532077771226426,0.26826218111630457
HLA-E_CD94:NKG2E,cDC1,NK cell,2,2.0,1.175543308499885,False,False,Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.5877716542499425,I-II,2,0.3204384891103606,7,0.0,1,2,0.3204384891103606,0.2673331651395819
HLA-E_CD94:NKG2A,T cell NK-like,T cell CD8 dividing,3,2.0,1.5317226975307725,False,False,Lambrechts_Thienpont_2018_6149v1;Zuani_2024_NSCLC,0.6666666666666666,0.5105742325102575,I-II,2,0.2441464157843606,7,0.0,2,2,0.2441464157843606,0.2664278167258969
HLA-E_CD94:NKG2C,Monocyte classical,T cell CD8 dividing,3,3.0,1.603009916503174,False,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.5343366388343913,I-II,2,0.2700250895340924,7,0.0,2,2,0.2700250895340924,0.26431154930029893
HLA-E_CD94:NKG2A,T cell CD8 effector memory,T cell CD8 dividing,3,2.0,1.480348068486796,False,False,Lambrechts_Thienpont_2018_6149v1;Zuani_2024_NSCLC,0.6666666666666666,0.4934493561622653,I-II,2,0.23039421786977046,7,0.0,2,2,0.23039421786977046,0.26305513829249483
HLA-E_KLRK1,B cell,T cell CD8 dividing,3,2.0,1.7788210702893335,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.5929403567631112,I-II,2,0.33709633393385857,7,0.0,2,2,0.33709633393385857,0.2558440228292526
CCL3_CCR1,T cell CD8 dividing,T cell CD8 dividing,3,3.0,1.0431881348079752,True,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.3477293782693251,I-II,2,0.09321524246897382,7,0.0,2,2,0.09321524246897382,0.25451413580035126
HLA-E_KLRK1,T cell regulatory,T cell CD8 dividing,3,2.0,1.8289607507743515,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.6096535835914505,I-II,2,0.35640649779240324,7,0.0,2,2,0.35640649779240324,0.25324708579904726
HLA-E_KLRK1,cDC2,T cell NK-like,3,2.0,1.4381690959403501,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.4793896986467834,I-II,2,0.22821762279671645,7,0.0,2,2,0.22821762279671645,0.25117207585006696
PTPRC_CD22,cDC1,B cell,2,2.0,0.9810663796755767,True,False,Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.4905331898377884,I-II,2,0.24385171282191478,7,0.0,1,2,0.24385171282191478,0.2466814770158736
HLA-E_KLRK1,NK cell,T cell CD8 dividing,3,2.0,1.8170251689044163,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.6056750563014721,I-II,2,0.35933332375626065,7,0.0,2,2,0.35933332375626065,0.24634173254521147
