interacting_pair,partner_a,partner_b,gene_a,gene_b,directionality,classification,interacting_cells,significant_mean
CCL26_CCR1,simple:Q9Y258,simple:P32246,CCL26,CCR1,Ligand-Receptor,Signaling by Chemokines,Fibroblast peribronchial|myeloid dividing,0.762
APP_TREM2_receptor,simple:P05067,complex:TREM2_receptor,APP,,Ligand-Receptor,Signaling by Amyloid-beta precursor protein,Fibroblast peribronchial|myeloid dividing,0.705
CXCL6_CXCR2,simple:P80162,simple:P25025,CXCL6,CXCR2,Ligand-Receptor,Signaling by Chemokines,Fibroblast peribronchial|myeloid dividing,0.558
HFE_TFRC,simple:Q30201,simple:P02786,HFE,TFRC,Ligand-Receptor,,Fibroblast peribronchial|myeloid dividing,0.632
COL4A1_ADGRG6,simple:P02462,simple:Q86SQ4,COL4A1,ADGRG6,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Fibroblast peribronchial|myeloid dividing,0.673
CD99_PILRA,simple:P14209,simple:Q9UKJ1,CD99,PILRA,Ligand-Receptor,,Fibroblast peribronchial|myeloid dividing,0.645
fibrinogen_integrin_aXb2_complex,complex:fibrinogen,complex:integrin_aXb2_complex,,,Ligand-Receptor,Adhesion by Fibribogen,Fibroblast peribronchial|myeloid dividing,0.673
RARRES2_CCRL2,simple:Q99969,simple:O00421,RARRES2,CCRL2,Ligand-Receptor,Signaling by Retinoid acid,Fibroblast peribronchial|myeloid dividing,0.711
THY1_integrin_aXb2_complex,simple:P04216,complex:integrin_aXb2_complex,THY1,,Adhesion-Adhesion,Adhesion by antigen THY1,Fibroblast peribronchial|myeloid dividing,0.729
COL4A2_ADGRG6,simple:P08572,simple:Q86SQ4,COL4A2,ADGRG6,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Fibroblast peribronchial|myeloid dividing,0.677
CXCL6_CXCR1,simple:P80162,simple:P25024,CXCL6,CXCR1,Ligand-Receptor,Signaling by Chemokines,Fibroblast peribronchial|myeloid dividing,0.535
ProstaglandinE2_byPTGES_PTGER3,complex:ProstaglandinE2_byPTGES,simple:P43115,,PTGER3,Ligand-Receptor,Signaling by Prostaglandin,Fibroblast peribronchial|myeloid dividing,0.623
ICAM1_integrin_aXb2_complex,simple:P05362,complex:integrin_aXb2_complex,ICAM1,,Ligand-Receptor,Adhesion by ICAM,Fibroblast peribronchial|myeloid dividing,0.575
IL24_IL20_receptor_Type_I,simple:Q13007,complex:IL20_receptor_Type_I,IL24,,Ligand-Receptor,Signaling by Interleukin,Fibroblast peribronchial|myeloid dividing,0.602
COL3A1_ADGRG1,simple:P02461,simple:Q9Y653,COL3A1,ADGRG1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Fibroblast peribronchial|myeloid dividing,0.651
WNT2_SFRP1,simple:P09544,simple:Q8N474,WNT2,SFRP1,Ligand-Ligand,Signaling by WNT inhibition,Fibroblast peribronchial|myeloid dividing,0.63
PLAU_PLAUR,simple:P00749,simple:Q03405,PLAU,PLAUR,Ligand-Receptor,Signaling by Plasminogen Activator,Fibroblast peribronchial|myeloid dividing,0.727
WNT5A_SFRP1,simple:P41221,simple:Q8N474,WNT5A,SFRP1,Ligand-Ligand,Signaling by WNT inhibition,Fibroblast peribronchial|myeloid dividing,0.627
ENTPD1_ADORA3,simple:P49961,simple:P0DMS8,ENTPD1,ADORA3,Ligand-Receptor,Signaling by Ectonucleoside,Fibroblast peribronchial|myeloid dividing,0.701
Dehydroepiandrosterone_bySTS_NR1I2,complex:Dehydroepiandrosterone_bySTS,simple:O75469,,NR1I2,Ligand-Receptor,Signaling by Dehydroepiandrosterone,Fibroblast peribronchial|myeloid dividing,0.61
SEMA3A_PlexinA1_complex3,simple:Q14563,complex:PlexinA1_complex3,SEMA3A,,Ligand-Receptor,Signaling by Semaphorin,Fibroblast peribronchial|myeloid dividing,0.638
ANXA1_FPR3,simple:P04083,simple:P25089,ANXA1,FPR3,Ligand-Receptor,Signaling by Annexin,Fibroblast peribronchial|myeloid dividing,0.623
THBS1_CD36,simple:P07996,simple:P16671,THBS1,CD36,Ligand-Receptor,Signaling by Thrombospondin precursor,Fibroblast peribronchial|myeloid dividing,0.679
APOB_TREM2_receptor,simple:P04114,complex:TREM2_receptor,APOB,,Ligand-Receptor,Signaling by Apolipoprotein,Fibroblast peribronchial|myeloid dividing,0.699
CEACAM1_CEACAM8,simple:P13688,simple:P31997,CEACAM1,CEACAM8,Adhesion-Adhesion,Adhesion by CEAM,Fibroblast peribronchial|myeloid dividing,0.617
WNT5B_WIF1,simple:Q9H1J7,simple:Q9Y5W5,WNT5B,WIF1,Ligand-Ligand,Signaling by WNT inhibition,Fibroblast peribronchial|myeloid dividing,0.617
THBS2_CD36,simple:P35442,simple:P16671,THBS2,CD36,Ligand-Receptor,Signaling by Thrombospondin precursor,Fibroblast peribronchial|myeloid dividing,0.71
LAMA2_ADGRG6,simple:P24043,simple:Q86SQ4,LAMA2,ADGRG6,Ligand-Receptor,,Fibroblast peribronchial|myeloid dividing,0.684
CTSG_FPR1,simple:P08311,simple:P21462,CTSG,FPR1,Ligand-Receptor,Signaling by Cathepsin,Fibroblast peribronchial|myeloid dividing,0.596
WNT2_WIF1,simple:P09544,simple:Q9Y5W5,WNT2,WIF1,Ligand-Ligand,Signaling by WNT inhibition,Fibroblast peribronchial|myeloid dividing,0.636
WNT5A_SFRP5,simple:P41221,simple:Q5T4F7,WNT5A,SFRP5,Ligand-Ligand,Signaling by WNT inhibition,Fibroblast peribronchial|myeloid dividing,0.629
OXT_AVPR1A,simple:P01178,simple:P37288,OXT,AVPR1A,Ligand-Receptor,Signaling by Oxytocin,Fibroblast peribronchial|myeloid dividing,0.636
FCER2_integrin_aXb2_complex,simple:P06734,complex:integrin_aXb2_complex,FCER2,,Receptor-Receptor,Signaling by FC receptor,Fibroblast peribronchial|myeloid dividing,0.573
WNT5A_WIF1,simple:P41221,simple:Q9Y5W5,WNT5A,WIF1,Ligand-Ligand,Signaling by WNT inhibition,Fibroblast peribronchial|myeloid dividing,0.633
DSG2_DSC3,simple:Q14126,simple:Q14574,DSG2,DSC3,Adhesion-Adhesion,Adhesion by Desmosome,Fibroblast peribronchial|myeloid dividing,0.615
RSPO2_LGR5,simple:Q6UXX9,simple:O75473,RSPO2,LGR5,Ligand-Receptor,Signaling by R-spondin,Macrophage|Fibroblast peribronchial,0.647
CXCL5_CXCR1,simple:P42830,simple:P25024,CXCL5,CXCR1,Ligand-Receptor,Signaling by Chemokines,Macrophage|Fibroblast peribronchial,0.548
WNT2_SFRP4,simple:P09544,simple:Q6FHJ7,WNT2,SFRP4,Ligand-Ligand,Signaling by WNT inhibition,Macrophage|Fibroblast peribronchial,0.633
GJA5_GJA5,simple:P36382,simple:P36382,GJA5,GJA5,Gap-Gap,Adhesion by GAP junction,Macrophage|Fibroblast peribronchial,0.612
CXCL8_CXCR2,simple:P10145,simple:P25025,CXCL8,CXCR2,Ligand-Receptor,Signaling by Chemokines,Macrophage|Fibroblast peribronchial,0.526
VEGFA_NRP1,simple:P15692,simple:O14786,VEGFA,NRP1,Ligand-Receptor,Signaling by Vascular endothelial growth factor,Macrophage|Fibroblast peribronchial,0.65
GJC1_GJA5,simple:P36383,simple:P36382,GJC1,GJA5,Gap-Gap,Adhesion by GAP junction,Macrophage|Fibroblast peribronchial,0.624
CXCL8_CXCR1,simple:P10145,simple:P25024,CXCL8,CXCR1,Ligand-Receptor,Signaling by Chemokines,Macrophage|Fibroblast peribronchial,0.528
CXCL5_CXCR2,simple:P42830,simple:P25025,CXCL5,CXCR2,Ligand-Receptor,Signaling by Chemokines,Macrophage|Fibroblast peribronchial,0.545
WNT5B_SFRP4,simple:Q9H1J7,simple:Q6FHJ7,WNT5B,SFRP4,Ligand-Ligand,Signaling by WNT inhibition,Macrophage|Fibroblast peribronchial,0.659
JAG1_NOTCH3,simple:P78504,simple:Q9UM47,JAG1,NOTCH3,Ligand-Receptor,Signaling by Notch,Macrophage|Fibroblast peribronchial,0.662
DLK1_NOTCH3,simple:P80370,simple:Q9UM47,DLK1,NOTCH3,Ligand-Receptor,Signaling by Notch,Macrophage|Fibroblast peribronchial,0.626
ProstaglandinE2_byPTGES2_PTGER3,complex:ProstaglandinE2_byPTGES2,simple:P43115,,PTGER3,Ligand-Receptor,Signaling by Prostaglandin,Macrophage|Fibroblast peribronchial,0.673
SHH_PTCH_CDON_transmembrane_receptor,simple:Q15465,complex:PTCH_CDON_transmembrane_receptor,SHH,,Ligand-Receptor,Signaling by Sonic hedgehog,Macrophage|Fibroblast peribronchial,0.516
SEMA3C_NRP2,simple:Q99985,simple:O60462,SEMA3C,NRP2,Ligand-Receptor,Signaling by Semaphorin,Macrophage|Fibroblast peribronchial,0.691
CDH2_CDH2,simple:P19022,simple:P19022,CDH2,CDH2,Adhesion-Adhesion,Adhesion by Cadherin,Macrophage|Fibroblast peribronchial,0.613
Estradiol_byCYP19A1_ESR2,complex:Estradiol_byCYP19A1,simple:Q92731,,ESR2,Ligand-Receptor,Signaling by Steroids,Macrophage|Fibroblast peribronchial,0.567
RSPO3_LGR5,simple:Q9BXY4,simple:O75473,RSPO3,LGR5,Ligand-Receptor,Signaling by R-spondin,Macrophage|Fibroblast peribronchial,0.633
JAG1_VASN,simple:P78504,simple:Q6EMK4,JAG1,VASN,Ligand-Receptor,,Macrophage|Fibroblast peribronchial,0.661
VEGFA_NRP2,simple:P15692,simple:O60462,VEGFA,NRP2,Ligand-Receptor,Signaling by Vascular endothelial growth factor,Macrophage|Fibroblast peribronchial,0.668
WNT5B_SFRP2,simple:Q9H1J7,simple:Q96HF1,WNT5B,SFRP2,Ligand-Ligand,Signaling by WNT inhibition,Macrophage|Fibroblast peribronchial,0.662
CXCL1_ACKR1,simple:P09341,simple:Q16570,CXCL1,ACKR1,Ligand-Receptor,Signaling by Chemokines,Macrophage|Fibroblast peribronchial,0.541
PDGFB_PDGFRB,simple:P01127,simple:P09619,PDGFB,PDGFRB,Ligand-Receptor,Signaling by Platelet-derived growth factor,Macrophage|Fibroblast peribronchial,0.698
WNT2_SFRP2,simple:P09544,simple:Q96HF1,WNT2,SFRP2,Ligand-Ligand,Signaling by WNT inhibition,Macrophage|Fibroblast peribronchial,0.636
JAG1_NOTCH2,simple:P78504,simple:Q04721,JAG1,NOTCH2,Ligand-Receptor,Signaling by Notch,Macrophage|Fibroblast peribronchial,0.63
SHH_HHIP,simple:Q15465,simple:Q96QV1,SHH,HHIP,Ligand-Ligand,Signaling by Sonic hedgehog,Macrophage|Fibroblast peribronchial,0.623
GJA1_GJA5,simple:P17302,simple:P36382,GJA1,GJA5,Gap-Gap,Adhesion by GAP junction,Macrophage|Fibroblast peribronchial,0.613
WNT5A_SFRP4,simple:P41221,simple:Q6FHJ7,WNT5A,SFRP4,Ligand-Ligand,Signaling by WNT inhibition,Macrophage|Fibroblast peribronchial,0.688
LEP_LEPR,simple:P41159,simple:P48357,LEP,LEPR,Ligand-Receptor,,Macrophage|Fibroblast peribronchial,0.587
GAS6_AXL,simple:Q14393,simple:P30530,GAS6,AXL,Ligand-Receptor,Signaling by Growth arrest,Macrophage|Fibroblast peribronchial,0.639
atRetinoicAcid_byALDH1A1_RAreceptor_RXRB,complex:atRetinoicAcid_byALDH1A1,complex:RAreceptor_RXRB,,,Ligand-Receptor,Signaling by Retinoic Acid,Macrophage|Fibroblast peribronchial,0.659
atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,complex:atRetinoicAcid_byALDH1A2,complex:RAreceptor_RXRB,,,Ligand-Receptor,Signaling by Retinoic Acid,Macrophage|Fibroblast peribronchial,0.594
WNT5A_SFRP2,simple:P41221,simple:Q96HF1,WNT5A,SFRP2,Ligand-Ligand,Signaling by WNT inhibition,Macrophage|Fibroblast peribronchial,0.691
atRetinoicAcid_byALDH1A3_RAreceptor_RXRB,complex:atRetinoicAcid_byALDH1A3,complex:RAreceptor_RXRB,,,Ligand-Receptor,Signaling by Retinoic Acid,Macrophage|Fibroblast peribronchial,0.557
CXCL1_CXCR2,simple:P09341,simple:P25025,CXCL1,CXCR2,Ligand-Receptor,Signaling by Chemokines,Macrophage|Fibroblast peribronchial,0.539
Estradiol_byCYP19A1_NR1I2,complex:Estradiol_byCYP19A1,simple:O75469,,NR1I2,Ligand-Receptor,Signaling by Steroids,Macrophage|Fibroblast peribronchial,0.624
GJC1_GJA1,simple:P36383,simple:P17302,GJC1,GJA1,Gap-Gap,Adhesion by GAP junction,Macrophage|Fibroblast peribronchial,0.625
RBP4_STRA6,simple:P02753,simple:Q9BX79,RBP4,STRA6,Ligand-Receptor,,Macrophage|Fibroblast peribronchial,0.677
CXCL11_ACKR3,simple:O14625,simple:P25106,CXCL11,ACKR3,Ligand-Receptor,Signaling by Chemokines,Macrophage|Fibroblast peribronchial,0.622
AVP_OXTR,simple:P01185,simple:P30559,AVP,OXTR,Ligand-Receptor,Signaling by Vasopressin,Macrophage|Fibroblast peribronchial,0.621
HBEGF_ERBB4,simple:Q99075,simple:Q15303,HBEGF,ERBB4,Ligand-Receptor,Signaling by Epidermal growth factor,Macrophage|Fibroblast peribronchial,0.624
PDGFB_PDGFRA,simple:P01127,simple:P16234,PDGFB,PDGFRA,Ligand-Receptor,Signaling by Platelet-derived growth factor,Macrophage|Fibroblast peribronchial,0.704
ProstaglandinE2_byPTGES_PTGER3,complex:ProstaglandinE2_byPTGES,simple:P43115,,PTGER3,Ligand-Receptor,Signaling by Prostaglandin,Macrophage|Fibroblast peribronchial,0.614
HBEGF_EGFR,simple:Q99075,simple:P00533,HBEGF,EGFR,Ligand-Receptor,Signaling by Epidermal growth factor,Macrophage|Fibroblast peribronchial,0.678
EDN2_EDNRA,simple:P20800,simple:P25101,EDN2,EDNRA,Ligand-Receptor,Signaling by Endothelin,Macrophage|Fibroblast peribronchial,0.634
CXCL1_CXCR1,simple:P09341,simple:P25024,CXCL1,CXCR1,Ligand-Receptor,Signaling by Chemokines,Macrophage|Fibroblast peribronchial,0.542
PLAU_PLAUR,simple:P00749,simple:Q03405,PLAU,PLAUR,Ligand-Receptor,Signaling by Plasminogen Activator,Macrophage|Fibroblast peribronchial,0.599
HBEGF_ERBB2,simple:Q99075,simple:P04626,HBEGF,ERBB2,Ligand-Receptor,Signaling by Epidermal growth factor,Macrophage|Fibroblast peribronchial,0.671
SEMA3A_PlexinA1_complex3,simple:Q14563,complex:PlexinA1_complex3,SEMA3A,,Ligand-Receptor,Signaling by Semaphorin,Macrophage|Fibroblast peribronchial,0.597
EREG_EGFR,simple:O14944,simple:P00533,EREG,EGFR,Ligand-Receptor,Signaling by Epidermal growth factor,Macrophage|Fibroblast peribronchial,0.668
IL20_IL20_receptor_Type_I,simple:Q9NYY1,complex:IL20_receptor_Type_I,IL20,,Ligand-Receptor,Signaling by Interleukin,Macrophage|Fibroblast peribronchial,0.529
PDGFB_PDGFR_complex,simple:P01127,complex:PDGFR_complex,PDGFB,,Ligand-Receptor,Signaling by Platelet-derived growth factor,Macrophage|Fibroblast peribronchial,0.698
ProstaglandinF2a_byAKR1B1_PTGFR,complex:ProstaglandinF2a_byAKR1B1,simple:P43088,,PTGFR,Ligand-Receptor,Signaling by Prostaglandin,Macrophage|Fibroblast peribronchial,0.688
WNT2_SFRP5,simple:P09544,simple:Q5T4F7,WNT2,SFRP5,Ligand-Ligand,Signaling by WNT inhibition,Macrophage|Fibroblast peribronchial,0.51
EREG_ERBB4,simple:O14944,simple:Q15303,EREG,ERBB4,Ligand-Receptor,Signaling by Epidermal growth factor,Macrophage|Fibroblast peribronchial,0.614
Adrenaline_byPNMT_and_SLC18A2_ADRA2A,complex:Adrenaline_byPNMT_and_SLC18A2,simple:P08913,,ADRA2A,Ligand-Receptor,Signaling by Adrenaline,Macrophage|Fibroblast peribronchial,0.606
RSPO2_LGR5,simple:Q6UXX9,simple:O75473,RSPO2,LGR5,Ligand-Receptor,Signaling by R-spondin,Macrophage alveolar|Fibroblast peribronchial,0.647
CXCL5_CXCR1,simple:P42830,simple:P25024,CXCL5,CXCR1,Ligand-Receptor,Signaling by Chemokines,Macrophage alveolar|Fibroblast peribronchial,0.597
GJA5_GJA5,simple:P36382,simple:P36382,GJA5,GJA5,Gap-Gap,Adhesion by GAP junction,Macrophage alveolar|Fibroblast peribronchial,0.613
TNFSF13_TNFRSF13B,simple:O75888,simple:O14836,TNFSF13,TNFRSF13B,Ligand-Receptor,Signaling by Tumor necrosis factor,Macrophage alveolar|Fibroblast peribronchial,0.577
GJC1_GJA5,simple:P36383,simple:P36382,GJC1,GJA5,Gap-Gap,Adhesion by GAP junction,Macrophage alveolar|Fibroblast peribronchial,0.624
CXCL5_CXCR2,simple:P42830,simple:P25025,CXCL5,CXCR2,Ligand-Receptor,Signaling by Chemokines,Macrophage alveolar|Fibroblast peribronchial,0.595
WNT5B_SFRP4,simple:Q9H1J7,simple:Q6FHJ7,WNT5B,SFRP4,Ligand-Ligand,Signaling by WNT inhibition,Macrophage alveolar|Fibroblast peribronchial,0.654
TNFSF13_TNFRSF17,simple:O75888,simple:Q02223,TNFSF13,TNFRSF17,Ligand-Receptor,Signaling by Tumor necrosis factor,Macrophage alveolar|Fibroblast peribronchial,0.576
DLK1_NOTCH3,simple:P80370,simple:Q9UM47,DLK1,NOTCH3,Ligand-Receptor,Signaling by Notch,Macrophage alveolar|Fibroblast peribronchial,0.72
ProstaglandinE2_byPTGES2_PTGER3,complex:ProstaglandinE2_byPTGES2,simple:P43115,,PTGER3,Ligand-Receptor,Signaling by Prostaglandin,Macrophage alveolar|Fibroblast peribronchial,0.658
CCL23_FPR2,simple:P55773,simple:P25090,CCL23,FPR2,Ligand-Receptor,Signaling by Chemokines,Macrophage alveolar|Fibroblast peribronchial,0.583
SHH_PTCH_CDON_transmembrane_receptor,simple:Q15465,complex:PTCH_CDON_transmembrane_receptor,SHH,,Ligand-Receptor,Signaling by Sonic hedgehog,Macrophage alveolar|Fibroblast peribronchial,0.517
ProstaglandinD2_byAKR1C3_PTGFR,complex:ProstaglandinD2_byAKR1C3,simple:P43088,,PTGFR,Ligand-Receptor,Signaling by Prostaglandin,Macrophage alveolar|Fibroblast peribronchial,0.703
SEMA3C_NRP2,simple:Q99985,simple:O60462,SEMA3C,NRP2,Ligand-Receptor,Signaling by Semaphorin,Macrophage alveolar|Fibroblast peribronchial,0.707
RSPO3_LGR5,simple:Q9BXY4,simple:O75473,RSPO3,LGR5,Ligand-Receptor,Signaling by R-spondin,Macrophage alveolar|Fibroblast peribronchial,0.739
WNT5B_SFRP2,simple:Q9H1J7,simple:Q96HF1,WNT5B,SFRP2,Ligand-Ligand,Signaling by WNT inhibition,Macrophage alveolar|Fibroblast peribronchial,0.657
CXCL3_CXCR2,simple:P19876,simple:P25025,CXCL3,CXCR2,Ligand-Receptor,Signaling by Chemokines,Macrophage alveolar|Fibroblast peribronchial,0.586
WNT2_SFRP2,simple:P09544,simple:Q96HF1,WNT2,SFRP2,Ligand-Ligand,Signaling by WNT inhibition,Macrophage alveolar|Fibroblast peribronchial,0.636
SHH_HHIP,simple:Q15465,simple:Q96QV1,SHH,HHIP,Ligand-Ligand,Signaling by Sonic hedgehog,Macrophage alveolar|Fibroblast peribronchial,0.624
CEACAM8_CEACAM6,simple:P31997,simple:P40199,CEACAM8,CEACAM6,Adhesion-Adhesion,Adhesion by CEAM,Macrophage alveolar|Fibroblast peribronchial,0.604
atRetinoicAcid_byALDH1A1_RAreceptor_RXRB,complex:atRetinoicAcid_byALDH1A1,complex:RAreceptor_RXRB,,,Ligand-Receptor,Signaling by Retinoic Acid,Macrophage alveolar|Fibroblast peribronchial,0.672
atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,complex:atRetinoicAcid_byALDH1A2,complex:RAreceptor_RXRB,,,Ligand-Receptor,Signaling by Retinoic Acid,Macrophage alveolar|Fibroblast peribronchial,0.678
RBP4_STRA6,simple:P02753,simple:Q9BX79,RBP4,STRA6,Ligand-Receptor,,Macrophage alveolar|Fibroblast peribronchial,0.761
HBEGF_ERBB4,simple:Q99075,simple:Q15303,HBEGF,ERBB4,Ligand-Receptor,Signaling by Epidermal growth factor,Macrophage alveolar|Fibroblast peribronchial,0.63
FTL_SCARA5,simple:P02792,simple:Q6ZMJ2,FTL,SCARA5,Ligand-Receptor,,Macrophage alveolar|Fibroblast peribronchial,0.589
PDGFB_PDGFRA,simple:P01127,simple:P16234,PDGFB,PDGFRA,Ligand-Receptor,Signaling by Platelet-derived growth factor,Macrophage alveolar|Fibroblast peribronchial,0.64
HBEGF_EGFR,simple:Q99075,simple:P00533,HBEGF,EGFR,Ligand-Receptor,Signaling by Epidermal growth factor,Macrophage alveolar|Fibroblast peribronchial,0.684
DLK1_NOTCH2,simple:P80370,simple:Q04721,DLK1,NOTCH2,Ligand-Receptor,Signaling by Notch,Macrophage alveolar|Fibroblast peribronchial,0.689
Dehydroepiandrosterone_bySTS_NR1I2,complex:Dehydroepiandrosterone_bySTS,simple:O75469,,NR1I2,Ligand-Receptor,Signaling by Dehydroepiandrosterone,Macrophage alveolar|Fibroblast peribronchial,0.623
HBEGF_ERBB2,simple:Q99075,simple:P04626,HBEGF,ERBB2,Ligand-Receptor,Signaling by Epidermal growth factor,Macrophage alveolar|Fibroblast peribronchial,0.677
EREG_EGFR,simple:O14944,simple:P00533,EREG,EGFR,Ligand-Receptor,Signaling by Epidermal growth factor,Macrophage alveolar|Fibroblast peribronchial,0.629
SHH_PTCH_GAS1_transmembrane_receptor,simple:Q15465,complex:PTCH_GAS1_transmembrane_receptor,SHH,,Ligand-Receptor,Signaling by Sonic hedgehog,Macrophage alveolar|Fibroblast peribronchial,0.558
PDGFD_PDGFR_complex,simple:Q9GZP0,complex:PDGFR_complex,PDGFD,,Ligand-Receptor,Signaling by Platelet-derived growth factor,Macrophage alveolar|Fibroblast peribronchial,0.653
IL20_IL20_receptor_Type_I,simple:Q9NYY1,complex:IL20_receptor_Type_I,IL20,,Ligand-Receptor,Signaling by Interleukin,Macrophage alveolar|Fibroblast peribronchial,0.523
PDGFB_PDGFR_complex,simple:P01127,complex:PDGFR_complex,PDGFB,,Ligand-Receptor,Signaling by Platelet-derived growth factor,Macrophage alveolar|Fibroblast peribronchial,0.634
ProstaglandinF2a_byAKR1B1_PTGFR,complex:ProstaglandinF2a_byAKR1B1,simple:P43088,,PTGFR,Ligand-Receptor,Signaling by Prostaglandin,Macrophage alveolar|Fibroblast peribronchial,0.691
EREG_ERBB4,simple:O14944,simple:Q15303,EREG,ERBB4,Ligand-Receptor,Signaling by Epidermal growth factor,Macrophage alveolar|Fibroblast peribronchial,0.575
Adrenaline_byPNMT_and_SLC18A2_ADRA2A,complex:Adrenaline_byPNMT_and_SLC18A2,simple:P08913,,ADRA2A,Ligand-Receptor,Signaling by Adrenaline,Macrophage alveolar|Fibroblast peribronchial,0.607
RSPO2_LGR5,simple:Q6UXX9,simple:O75473,RSPO2,LGR5,Ligand-Receptor,Signaling by R-spondin,Mast cell|Fibroblast peribronchial,0.646
CTSG_F2RL3,simple:P08311,simple:Q96RI0,CTSG,F2RL3,Ligand-Receptor,Signaling by Cathepsin,Mast cell|Fibroblast peribronchial,0.612
ADCYAP1_VIPR1,simple:P18509,simple:P32241,ADCYAP1,VIPR1,Ligand-Receptor,Signaling by Pituitary adenylate,Mast cell|Fibroblast peribronchial,0.602
GJA5_GJA5,simple:P36382,simple:P36382,GJA5,GJA5,Gap-Gap,Adhesion by GAP junction,Mast cell|Fibroblast peribronchial,0.615
LTC4_byLTC4S_CYSLTR2,complex:LTC4_byLTC4S,simple:Q9NS75,,CYSLTR2,Ligand-Receptor,Signaling by Lipoxin/Leukotriene,Mast cell|Fibroblast peribronchial,0.625
VEGFA_NRP1,simple:P15692,simple:O14786,VEGFA,NRP1,Ligand-Receptor,Signaling by Vascular endothelial growth factor,Mast cell|Fibroblast peribronchial,0.662
GJC1_GJA5,simple:P36383,simple:P36382,GJC1,GJA5,Gap-Gap,Adhesion by GAP junction,Mast cell|Fibroblast peribronchial,0.625
LipoxinA4_byALOX5_FPR2,complex:LipoxinA4_byALOX5,simple:P25090,,FPR2,Ligand-Receptor,Signaling by Lipoxin/Leukotriene,Mast cell|Fibroblast peribronchial,0.552
Histamine_byHDC_HRH1,complex:Histamine_byHDC,simple:P35367,,HRH1,Ligand-Receptor,Signaling by Histamine,Mast cell|Fibroblast peribronchial,0.742
DLK1_NOTCH3,simple:P80370,simple:Q9UM47,DLK1,NOTCH3,Ligand-Receptor,Signaling by Notch,Mast cell|Fibroblast peribronchial,0.615
RSPO3_LGR5,simple:Q9BXY4,simple:O75473,RSPO3,LGR5,Ligand-Receptor,Signaling by R-spondin,Mast cell|Fibroblast peribronchial,0.632
VEGFA_NRP2,simple:P15692,simple:O60462,VEGFA,NRP2,Ligand-Receptor,Signaling by Vascular endothelial growth factor,Mast cell|Fibroblast peribronchial,0.679
CD44_SELE,simple:P16070,simple:P16581,CD44,SELE,Ligand-Receptor,,Mast cell|Fibroblast peribronchial,0.584
LeukotrieneC4_byLTC4S_CYSLTR2,complex:LeukotrieneC4_byLTC4S,simple:Q9NS75,,CYSLTR2,Ligand-Receptor,Signaling by Lipoxin/Leukotriene,Mast cell|Fibroblast peribronchial,0.572
WNT2_SFRP2,simple:P09544,simple:Q96HF1,WNT2,SFRP2,Ligand-Ligand,Signaling by WNT inhibition,Mast cell|Fibroblast peribronchial,0.636
SHH_HHIP,simple:Q15465,simple:Q96QV1,SHH,HHIP,Ligand-Ligand,Signaling by Sonic hedgehog,Mast cell|Fibroblast peribronchial,0.621
AREG_EGFR,simple:P15514,simple:P00533,AREG,EGFR,Ligand-Receptor,Signaling by Epidermal growth factor,Mast cell|Fibroblast peribronchial,0.696
CRLF2_TSLPR,simple:Q9HC73,complex:TSLPR,CRLF2,,Receptor-Receptor,,Mast cell|Fibroblast peribronchial,0.6
IL13_IL13RA2,simple:P35225,simple:Q14627,IL13,IL13RA2,Ligand-Receptor,Signaling by Interleukin,Mast cell|Fibroblast peribronchial,0.64
atRetinoicAcid_byALDH1A1_RAreceptor_RXRB,complex:atRetinoicAcid_byALDH1A1,complex:RAreceptor_RXRB,,,Ligand-Receptor,Signaling by Retinoic Acid,Mast cell|Fibroblast peribronchial,0.682
atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,complex:atRetinoicAcid_byALDH1A2,complex:RAreceptor_RXRB,,,Ligand-Receptor,Signaling by Retinoic Acid,Mast cell|Fibroblast peribronchial,0.558
GJC1_GJA1,simple:P36383,simple:P17302,GJC1,GJA1,Gap-Gap,Adhesion by GAP junction,Mast cell|Fibroblast peribronchial,0.626
RBP4_STRA6,simple:P02753,simple:Q9BX79,RBP4,STRA6,Ligand-Receptor,,Mast cell|Fibroblast peribronchial,0.643
PDGFB_PDGFRA,simple:P01127,simple:P16234,PDGFB,PDGFRA,Ligand-Receptor,Signaling by Platelet-derived growth factor,Mast cell|Fibroblast peribronchial,0.62
ANXA1_FPR2,simple:P04083,simple:P25090,ANXA1,FPR2,Ligand-Receptor,Signaling by Annexin,Mast cell|Fibroblast peribronchial,0.579
TNFSF10_TNFRSF11B,simple:P50591,simple:O00300,TNFSF10,TNFRSF11B,Ligand-Receptor,Signaling by Tumor necrosis factor,Mast cell|Fibroblast peribronchial,0.638
IL20_IL20_receptor_Type_I,simple:Q9NYY1,complex:IL20_receptor_Type_I,IL20,,Ligand-Receptor,Signaling by Interleukin,Mast cell|Fibroblast peribronchial,0.523
PDGFB_PDGFR_complex,simple:P01127,complex:PDGFR_complex,PDGFB,,Ligand-Receptor,Signaling by Platelet-derived growth factor,Mast cell|Fibroblast peribronchial,0.614
