Regulator	Target	MI	pvalue
T cell CD8 effector memory	cDC2	0.38786358862341197	4.553840286192212E-6
NK cell	T cell NK-like	0.5116583094885265	0.0
Ciliated	Club	0.32634727645741035	0.0
T cell CD8 effector memory	Mast cell	0.46824311098908944	0.0
B cell	B cell dividing	0.3004571269422275	0.0
Macrophage alveolar	Neutrophils	0.28390265202928877	1.4521372131426347E-6
Fibroblast peribronchial	Mast cell	0.2987409843720099	0.04328156460949639
T cell CD4	Mast cell	0.429130432520402	0.0
cDC1	T cell regulatory	0.395438687299337	0.0
T cell CD8 effector memory	Macrophage	0.39434271206114646	4.1714451610275205E-5
Alveolar cell type 1	Alveolar cell type 2	0.2893405145218816	0.0
Plasma cell	B cell dividing	0.28785936681871516	0.0
Monocyte non-classical	T cell CD8 naive	0.334604953929575	0.0
T cell CD4 dividing	T cell regulatory	0.4302097054875744	0.0
T cell CD8 effector memory	Plasma cell	0.39926943983269125	0.0
T cell CD8 effector memory	pDC	0.4222266919616319	0.0
T cell CD8 effector memory	T cell CD4 dividing	0.4283470675377618	0.0
T cell CD8 effector memory	T cell regulatory	0.991332163326849	0.0
cDC1	cDC2	0.3404170584935846	9.602719140788807E-4
B cell	Alveolar cell type 2	0.29776817868145117	1.3789900421556922E-7
transitional club/AT2	Alveolar cell type 2	0.30282031431003203	0.0
Alveolar cell type 2	Mast cell	0.33020130395051916	0.0
Macrophage	myeloid dividing	0.3678316080646226	0.0
Smooth muscle cell	Pericyte	0.2795979895484975	4.5254697855767745E-7
Fibroblast peribronchial	Endothelial cell venous	0.37493776049479166	0.0
DC mature	T cell CD4 dividing	0.3509528485099769	0.0
Neutrophils	NK cell	0.28514651709123473	4.553840286192212E-6
Macrophage alveolar	cDC2	0.3681794758357854	0.0
Neutrophils	Alveolar cell type 2	0.29411786268777323	0.0
cDC2	T cell CD4	0.41910215508323284	0.0
T cell CD4	cDC1	0.4140654892541574	0.0
T cell CD4	cDC2	0.41062550956118266	0.0
Monocyte non-classical	Monocyte classical	0.2761128312068755	0.0
cDC2	Monocyte classical	0.4314729265566861	0.0
Mast cell	T cell CD4	0.4292269986850684	0.0
T cell CD8 naive	Monocyte non-classical	0.3292931806614422	0.0
T cell CD8 activated	cDC1	0.36703412100969185	1.3789900421556922E-7
Monocyte classical	myeloid dividing	0.3356045107132268	1.3789900421556922E-7
cDC1	T cell CD8 activated	0.37792861635271097	3.4254679093237428E-9
T cell CD4	T cell CD8 activated	0.5752330598136184	0.0
NK cell	T cell CD8 effector memory	0.7691935858498272	0.0
NK cell dividing	T cell CD8 dividing	0.3011153265884479	0.0
T cell CD8 effector memory	Monocyte classical	0.40977461271070276	0.0
pDC	B cell	0.3754148226389995	1.2171542395833512E-4
cDC2	myeloid dividing	0.3241096917179748	1.4521372131426347E-6
Mast cell	Fibroblast alveolar	0.27685557572124064	0.0
pDC	DC mature	0.3342217677800528	0.0
Monocyte classical	T cell regulatory	0.41844513803452416	4.5254697855767745E-7
Alveolar cell type 2	transitional club/AT2	0.30741015417793804	0.0
Monocyte classical	B cell	0.3718015432386432	9.586065274902467E-10
Macrophage alveolar	Mast cell	0.37074550747587304	3.463143810815694E-4
