"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000256525",9.03555841887995e-18,1.12413346057464,0.149,0.076,4.90540466560993e-14
"ENSG00000046653",1.02072921136892e-17,-2.93714945625252,0.021,0.096,5.54153888852188e-14
"ENSG00000100453",1.10809342178483e-17,-5.71415578671363,0.003,0.065,6.01583918686987e-14
"ENSG00000216490",1.13843657787564e-17,-1.68976831473021,0.026,0.104,6.18057218128684e-14
"ENSG00000115828",1.15574425586335e-17,1.29031395463135,0.078,0.029,6.2745355650821e-14
"ENSG00000108055",1.17535797004853e-17,-1.45600857227999,0.1,0.199,6.38101841939344e-14
"ENSG00000099204",1.61096579801815e-17,0.543768162395999,0.182,0.097,8.74593331744053e-14
"ENSG00000186377",1.7346629296217e-17,2.19213356069245,0.033,0.007,9.41748504491619e-14
"ENSG00000122877",1.73624119942076e-17,-3.24970399793011,0.01,0.079,9.4260534716553e-14
"ENSG00000159674",1.81300383281936e-17,0.718202372360034,0.107,0.047,9.84279780837632e-14
"ENSG00000063660",1.8790717649456e-17,1.60717105997129,0.045,0.012,1.02014806118897e-13
"ENSG00000136235",1.90967557954795e-17,-4.10343747588809,0.023,0.097,1.03676287213658e-13
"ENSG00000159140",1.95413046711483e-17,-0.721106339741968,0.586,0.606,1.06089743059664e-13
"ENSG00000213145",2.4016084813915e-17,-1.5679156465868,0.074,0.167,1.30383324454745e-13
"ENSG00000153201",2.50419802291292e-17,-1.34843482067026,0.139,0.24,1.35952910663942e-13
"ENSG00000102243",2.55474616161447e-17,3.51406165557981,0.012,0.001,1.3869716911405e-13
"ENSG00000135048",3.00834865585369e-17,-1.51479705517704,0.211,0.303,1.63323248526297e-13
"ENSG00000137745",3.01568950194567e-17,3.27230390937643,0.018,0.002,1.6372178306063e-13
"ENSG00000258708",3.31241530596586e-17,2.98062945549873,0.016,0.002,1.79831026960886e-13
"ENSG00000138182",3.35513685493824e-17,-2.62902716089019,0.021,0.094,1.82150379854597e-13
"ENSG00000153944",3.74505916918448e-17,0.322513842437701,0.305,0.187,2.03319262295025e-13
"ENSG00000170498",3.91729167567257e-17,3.67756038786269,0.013,0.001,2.12669765072264e-13
"ENSG00000026751",4.20524483168721e-17,-3.15912120546443,0.01,0.077,2.28302741912298e-13
"ENSG00000103257",4.20660907897095e-17,-2.34788681809774,0.028,0.105,2.28376806897333e-13
"ENSG00000138795",4.24309764078261e-17,-5.5527002768071,0.001,0.06,2.30357770918088e-13
"ENSG00000121579",4.35971404538264e-17,-1.52875414600206,0.079,0.172,2.36688875523823e-13
"ENSG00000101966",5.42392027335208e-17,0.41348993527637,0.243,0.142,2.94464631640285e-13
"ENSG00000119917",5.65071930105036e-17,1.3676103078173,0.092,0.039,3.06777550854024e-13
"ENSG00000110777",6.31679085490794e-17,-5.06210772668334,0.002,0.061,3.42938575512952e-13
"ENSG00000136108",6.56156613947189e-17,-2.46236987328179,0.021,0.094,3.56227425711929e-13
"ENSG00000126870",7.25654120037539e-17,0.827136743913198,0.123,0.058,3.9395762176838e-13
"ENSG00000247982",8.00198378156661e-17,-5.26866359996908,0.002,0.061,4.34427699501251e-13
"ENSG00000130208",8.03313892718071e-17,-4.41331228455145,0.038,0.117,4.36119112356641e-13
"ENSG00000173531",8.24786113079911e-17,2.75156096930646,0.02,0.003,4.47776380791084e-13
"ENSG00000176222",9.5738734607693e-17,3.05463003694251,0.017,0.002,5.19765590185165e-13
"ENSG00000206530",9.75585053253274e-17,1.35814351213138,0.054,0.017,5.29645125411202e-13
"ENSG00000120438",9.95437727984439e-17,-1.11598873466989,0.235,0.33,5.40423142522752e-13
"ENSG00000184557",1.00833163503148e-16,-0.890438389465022,0.19,0.304,5.47423244658589e-13
"ENSG00000125726",1.02154500500586e-16,-6.62964042127812,0,0.057,5.54596783217683e-13
"ENSG00000138166",1.15918300332156e-16,0.44976797878365,0.25,0.148,6.29320452503278e-13
"ENSG00000169413",1.55063727784603e-16,-5.45532486576247,0.001,0.058,8.41840978142608e-13
"ENSG00000144852",1.59529065087786e-16,4.30761077811238,0.01,0,8.66083294361592e-13
